,id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
353,353,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,50838,34.227.146.6,ba:69:f4:f0:3d:02,ba:69:f4,80,6,4,0,0,1654703852357,1654703948348,95991,10,1992,1654703852357,1654703948348,95991,10,1992,0,0,0,0,0,HTTP.AmazonAWS,Cloud,0,4,fos5echocaptiveportal.com,,,Dalvik/2.1.0 (Linux; U; Android 5.1.1; AEOBC Build/LVY48F),
354,354,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,51685,52.44.104.119,ba:69:f4:f0:3d:02,ba:69:f4,80,6,4,0,0,1654703862409,1654703862905,496,7,770,1654703862409,1654703862905,496,4,454,1654703862652,1654703862903,251,3,316,HTTP.AmazonAWS,Cloud,0,4,fos5echocaptiveportal.com,,,Dalvik/2.1.0 (Linux; U; Android 5.1.1; AEOBC Build/LVY48F),
355,355,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,51247,3.222.137.239,ba:69:f4:f0:3d:02,ba:69:f4,443,6,4,0,0,1654703910921,1654703910921,0,1,99,1654703910921,1654703910921,0,1,99,0,0,0,0,0,TLS.AmazonAWS,Cloud,1,2,,,,,
356,356,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,10805,10.10.10.1,ba:69:f4:f0:3d:02,ba:69:f4,53,17,4,0,0,1654703914390,1654703914883,493,2,418,1654703914390,1654703914390,0,1,85,1654703914883,1654703914883,0,1,333,DNS.AmazonAlexa,VirtAssistant,0,4,avs-alexa-4-na.amazon.com,,,,
357,357,0,fe80::fea6:67ff:feb8:14c5,fc:a6:67:b8:14:c5,fc:a6:67,0,ff02::16,33:33:00:00:00:16,33:33:00,0,58,6,0,0,1654703969355,1654703970157,802,2,180,1654703969355,1654703970157,802,2,180,0,0,0,0,0,ICMPV6,Network,0,4,,,,,
358,358,0,fe80::fea6:67ff:feb8:14c5,fc:a6:67:b8:14:c5,fc:a6:67,5353,ff02::fb,33:33:00:00:00:fb,33:33:00,5353,17,6,0,0,1654703969605,1654703985606,16001,12,1751,1654703969605,1654703985606,16001,12,1751,0,0,0,0,0,MDNS,Network,0,4,2.10.10.10.in-addr.arpa,,,,
359,359,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,54361,13.227.248.170,ba:69:f4:f0:3d:02,ba:69:f4,443,6,4,0,0,1654703973482,1654703973815,333,14,2983,1654703973482,1654703973815,333,7,1650,1654703973508,1654703973801,293,7,1333,TLS.AmazonAlexa,VirtAssistant,0,4,api.eu.amazonalexa.com,69415598724855f70b37da9f653ec421,ea615e28cb25adfb2f261151eab3314f,,
360,360,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,34511,13.225.0.45,ba:69:f4:f0:3d:02,ba:69:f4,80,6,4,0,0,1654703551819,1654703551895,76,9,1296,1654703551819,1654703551895,76,5,528,1654703551836,1654703551869,33,4,768,HTTP.AmazonAWS,Cloud,0,4,d3p8zr0ffa9t17.cloudfront.net,,,Dalvik/2.1.0 (Linux; U; Android 5.1.1; AEOBC Build/LVY48F),text/plain
361,361,0,3.223.181.245,ba:69:f4:f0:3d:02,ba:69:f4,443,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,48002,6,4,0,0,1654702762457,1654703914523,1152066,159,21339,1654702762457,1654703914513,1152056,97,8561,1654702792222,1654703914523,1122301,62,12778,TLS.AmazonAWS,Cloud,1,2,,,,,
362,362,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,45779,35.174.51.236,ba:69:f4:f0:3d:02,ba:69:f4,443,6,4,0,0,1654702827653,1654702827654,1,2,163,1654702827653,1654702827654,1,2,163,0,0,0,0,0,TLS.AmazonAWS,Cloud,1,2,,,,,
363,363,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,39828,10.10.10.1,ba:69:f4:f0:3d:02,ba:69:f4,7,6,4,0,0,1654702951011,1654702951011,0,2,128,1654702951011,1654702951011,0,1,74,1654702951011,1654702951011,0,1,54,Unknown,Unspecified,0,0,,,,,
364,364,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,39831,10.10.10.1,ba:69:f4:f0:3d:02,ba:69:f4,7,6,4,0,0,1654702951022,1654702951022,0,2,128,1654702951022,1654702951022,0,1,74,1654702951022,1654702951022,0,1,54,Unknown,Unspecified,0,0,,,,,
365,365,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,39834,10.10.10.1,ba:69:f4:f0:3d:02,ba:69:f4,7,6,4,0,0,1654702951041,1654702951041,0,2,128,1654702951041,1654702951041,0,1,74,1654702951041,1654702951041,0,1,54,Unknown,Unspecified,0,0,,,,,
366,366,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,39837,10.10.10.1,ba:69:f4:f0:3d:02,ba:69:f4,7,6,4,0,0,1654702951046,1654702951046,0,2,128,1654702951046,1654702951046,0,1,74,1654702951046,1654702951046,0,1,54,Unknown,Unspecified,0,0,,,,,
367,367,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,51725,192.168.88.1,ba:69:f4:f0:3d:02,ba:69:f4,7,6,4,0,0,1654702951053,1654702951053,0,2,128,1654702951053,1654702951053,0,1,74,1654702951053,1654702951053,0,1,54,Unknown,Unspecified,0,0,,,,,
368,368,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,51728,192.168.88.1,ba:69:f4:f0:3d:02,ba:69:f4,7,6,4,0,0,1654702951066,1654702951066,0,2,128,1654702951066,1654702951066,0,1,74,1654702951066,1654702951066,0,1,54,Unknown,Unspecified,0,0,,,,,
369,369,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,46908,10.10.10.1,ba:69:f4:f0:3d:02,ba:69:f4,53,17,4,0,0,1654702951079,1654702951142,63,2,242,1654702951079,1654702951079,0,1,89,1654702951142,1654702951142,0,1,153,DNS.AmazonAWS,Cloud,0,4,d3p8zr0ffa9t17.cloudfront.net,,,,
370,370,0,10.10.10.2,fc:a6:67:b8:14:c5,fc:a6:67,52181,3.224.246.14,ba:69:f4:f0:3d:02,ba:69:f4,80,6,4,0,0,1654702951251,1654703047243,95992,10,1992,1654702951251,1654703047243,95992,10,1992,0,0,0,0,0,HTTP.AmazonAWS,Cloud,0,4,fos5echocaptiveportal.com,,,Dalvik/2.1.0 (Linux; U; Android 5.1.1; AEOBC Build/LVY48F),
